日時,レース名,グレード,着順,馬名,年齢,騎手,調教師
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,1,トリオンフ,せん6,M.デムーロ,須貝 尚介
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,2,ウインイクシード,牡6,松岡 正海,鈴木 伸尋
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,3,テリトーリアル,牡6,藤岡 康太,西浦 勝一
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,4,ノーブルマーズ,牡7,F.ミナリク,宮本 博
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,5,マイネルハニー,牡7,横山 武史,栗田 徹
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,6,マイネルサーパス,牡4,丹内 祐次,高木 登
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,7,クレッシェンドラヴ,牡6,内田 博幸,林 徹
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,8,ザダル,牡4,O.マーフィー,大竹 正博
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,9,アンノートル,牡6,柴田 大知,田中 博康
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,10,ギベオン,牡5,S.フォーリー,藤原 英昭
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,11,カデナ,牡6,鮫島 克駿,中竹 和也
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,12,シャイニープリンス,牡10,勝浦 正樹,深山 雅史
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,13,メイショウエイコウ,牡6,大野 拓弥,荒川 義之
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,14,レッドローゼス,牡6,田辺 裕信,国枝 栄
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,15,タニノフランケル,牡5,石橋 脩,角居 勝彦
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,16,ブラックスピネル,牡7,津村 明秀,音無 秀孝
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,17,イレイション,牡8,北村 宏司,池上 昌和
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,1,サウンドキアラ,牝5,松山 弘平,安達 昭夫
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,2,ダイアトニック,牡5,北村 友一,安田 隆行
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,3,ボンセルヴィーソ,牡6,太宰 啓介,池添 学
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,4,ソーグリッタリング,牡6,川田 将雅,池江 泰寿
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,5,ブレステイキング,牡5,藤岡 佑介,堀 宣行
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,6,エメラルファイト,牡4,石川 裕紀人,相沢 郁
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,7,ドーヴァー,牡7,福永 祐一,伊藤 圭三
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,7,エントシャイデン,牡5,坂井 瑠星,矢作 芳人
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,9,オールフォーラヴ,牝5,和田 竜二,中内田 充正
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,10,メイケイダイハード,牡5,柴山 雄一,中竹 和也
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,11,モズダディー,牡5,酒井 学,藤岡 健一
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,12,ストロングタイタン,牡7,幸 英明,池江 泰寿
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,13,タイムトリップ,牡6,岩田 康誠,菊川 正達
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,14,マルターズアポジー,牡8,松若 風馬,堀井 雅広
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,15,マイネルフラップ,牡4,国分 優作,梅田 智之
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,16,メイショウショウブ,牝4,池添 謙一,池添 兼雄
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,17,カテドラル,牡4,武 豊,池添 学
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,18,ハッピーグリン,牡5,吉田 隼人,長谷川 浩大
